scenario_id;test_type;technology;users_chatroom;users_server;chatrooms;senders_per_chat_ratio;payload_size_bytes;interval_ms;avg_message_time_ms;min_message_time_ms;max_message_time_ms;throughput;error_rate;cpu_avg;cpu_max;ram_avg;ram_max
1;scalability_cold_start;SignalR;1;1;1;1;200;10000;47,6;37;54;;0;;;;
2;scalability_cold_start;WebSockets;1;1;1;1;200;10000;68,8;46;88;;0;;;;
3;scalability_cold_start;Polling;1;1;1;1;200;10000;174;121;220;;0;;;;
4;scalability_cold_start;SSE;1;1;1;1;200;10000;58,2;37;76;;0;;;;
5;scalability_cold_start;SocketIO;1;1;1;1;200;10000;107,8;72;163;;0;;;;
6;scalability_cold_start;gRPC;1;1;1;1;200;10000;98;94;107;;0;;;;
7;scalability_single_user_min_load;SignalR;1;1;1;1;200;10000;21,8;13;27;;0;;;;
8;scalability_single_user_min_load;WebSockets;1;1;1;1;200;10000;18;15;24;;0;;;;
9;scalability_single_user_min_load;Polling;1;1;1;1;200;10000;136,8;46;250;;0;;;;
10;scalability_single_user_min_load;SSE;1;1;1;1;200;10000;20,6;17;23;;0;;;;
11;scalability_single_user_min_load;SocketIO;1;1;1;1;200;10000;24;22;26;;0;;;;
12;scalability_single_user_min_load;gRPC;1;1;1;1;200;10000;41,2;34;50;;0;;;;
13;scalability_single_user_many_server_users;SignalR;1;100;1;1;200;10000;1502,6;1230;2004;;0;;;;
14;scalability_single_user_many_server_users;WebSockets;1;100;1;1;200;10000;1419,4;1274;1607;;0;;;;
15;scalability_single_user_many_server_users;Polling;1;100;1;1;200;10000;4555,6;3728;5103;;0;;;;
16;scalability_single_user_many_server_users;SSE;1;100;1;1;200;10000;2434;2070;2768;;0;;;;
17;scalability_single_user_many_server_users;SocketIO;1;100;1;1;200;10000;2990,4;2815;3131;;0;;;;
18;scalability_single_user_many_server_users;gRPC;1;100;1;1;200;10000;2805,2;2500;3275;;0;;;;
19;scalability_single_user_many_server_users;SignalR;1;250;1;1;200;10000;4011;3576;4472;;0;;;;
20;scalability_single_user_many_server_users;WebSockets;1;250;1;1;200;10000;3348,8;2851;3701;;0;;;;
21;scalability_single_user_many_server_users;Polling;1;250;1;1;200;10000;9434;7395;10264;;20;;;;
22;scalability_single_user_many_server_users;SSE;1;250;1;1;200;10000;6200,8;5493;7258;;0;;;;
23;scalability_single_user_many_server_users;SocketIO;1;250;1;1;200;10000;7361;7129;7785;;0;;;;
24;scalability_single_user_many_server_users;gRPC;1;250;1;1;200;10000;8322,6;6758;9938;;0;;;;
25;scalability_single_user_many_server_users;SignalR;1;400;1;1;200;10000;6155,6;3783;7997;;0;;;;
26;scalability_single_user_many_server_users;WebSockets;1;400;1;1;200;10000;5184,2;4840;5737;;0;;;;
